dataid	datatype	class	total	tp	fp	tpr	fpr	falsediscoveryrate	tn	fn	tnr	fnr	falseomissionrate	precision	recall	accuracy	balancedaccuracy	f1	plr	nlr	dor	discarded	pdiscarded	cdiscarded	ptype
T1	all	Coronaviridae	102076	101657	65	0.998909283861332	0.000108290919389906	0.000638996480603999	600170	111	0.99989170908061	0.00109071613866834	0.000184913398891519	0.999361003519396	0.998909283861332	0.999749288820703	0.999400496470971	0.999135092633545	9224.31252305394	0.00109083426611392	8456199.81843382	308	48	42	Double
T1	all	Coronaviridae	102076	101698	246	0.999312160993633	0.000409839479537181	0.00241308953935494	599989	70	0.999590160520463	0.000687839006367424	0.000116655195572435	0.997586910460645	0.999312160993633	0.999549859473535	0.999451160757048	0.998448790449262	2438.30136160168	0.000688121025530386	3543419.35667828	308	48	0	Single
T1	all	Human	100209	100178	99587	0.999690646548713	0.165483537556041	0.498520761895227	502207	31	0.834516462443959	0.000309353451286811	6.17237246086517e-05	0.501479238104773	0.999690646548713	0.85809462352725	0.917103554496336	0.667911218972311	6.0410277741988	0.000370697841455206	16296.3662007964	0	27	4	Double
T1	all	Human	100209	100178	99587	0.999690646548713	0.165483537556041	0.498520761895227	502207	31	0.834516462443959	0.000309353451286811	6.17237246086517e-05	0.501479238104773	0.999690646548713	0.85809462352725	0.917103554496336	0.667911218972311	6.0410277741988	0.000370697841455206	16296.3662007964	0	27	0	Single
T1	all	Influenza	100160	98451	2	0.998498970577795	3.31452890600659e-06	2.03142616273755e-05	603402	148	0.999996685471094	0.00150102942220509	0.000245215806478336	0.999979685738373	0.998498970577795	0.999786325699463	0.999247828024444	0.999238779611473	301249.136421262	0.00150103439742699	200694359.128378	1561	82	43	Double
T1	all	Influenza	100160	98493	16	0.998924938386799	2.65162312480527e-05	0.000162421707661229	603388	106	0.999973483768752	0.00107506161320095	0.000175643834072915	0.999837578292339	0.998924938386799	0.999826211568896	0.999449211077776	0.999381049982751	37672.2064701468	0.00107509012053919	35040975.4033019	1561	82	0	Single
T1	all	Metapneumovirus	100548	100173	0	0.996270437999761	0	0	601455	375	1	0.00372956200023869	0.00062309954638353	1	0.996270437999761	0.999465814248657	0.998135218999881	0.998131735094983	Inf	0.00372956200023869	Inf	0	210	127	Double
T1	all	Metapneumovirus	100548	100279	2	0.997324660858495	3.32526955466327e-06	1.99439574794827e-05	601453	269	0.999996674730445	0.00267533914150456	0.000447050298975274	0.99998005604252	0.997324660858495	0.999613961763696	0.99866066779447	0.99865059329081	299922.951948323	0.00267534803775793	112106143.842007	0	210	0	Single
T1	all	Rhinovirus	101949	100458	23	0.998936011534828	3.82416807717504e-05	0.000228898995830057	601415	107	0.999961758319228	0.00106398846517178	0.000177882105725144	0.99977110100417	0.998936011534828	0.999814815606201	0.999448884927028	0.999353381813118	26121.6555176297	0.00106402915543507	24549755.412434	1384	45	35	Double
T1	all	Rhinovirus	101949	100492	76	0.9992741013275	0.000126363814724045	0.000755707580940259	601362	73	0.999873636185276	0.000725898672500373	0.000121376374836849	0.99924429241906	0.9992741013275	0.9997877501948	0.999573868756388	0.999259196650972	7907.91338097643	0.000725990411418213	10892586.5364095	1384	45	0	Single
