dataid	datatype	class	total	tp	fp	tpr	fpr	falsediscoveryrate	tn	fn	tnr	fnr	falseomissionrate	precision	recall	accuracy	balancedaccuracy	f1	plr	nlr	dor	discarded	pdiscarded	cdiscarded	ptype
T1	mm	Coronaviridae	22503	22328	23	0.995053255492669	0.00017410261456709	0.00102903673213726	132083	111	0.999825897385433	0.00494674450733099	0.000839675023072152	0.998970963267863	0.995053255492669	0.99913293862629	0.997439576439051	0.997008260772494	5715.32632043976	0.00494760589845375	1155170.08382295	64	48	42	Double
T1	equal	Coronaviridae	79573	79329	42	1	8.97188595451254e-05	0.000529160524624863	468087	0	0.999910281140455	0	0	0.999470839475375	1	0.999923281786	0.999955140570227	0.999735349716446	11145.9285714286	0	Inf	244	0	0	Double
T1	mm	Coronaviridae	22503	22369	99	0.996880431391773	0.000749398210527909	0.00440626669040413	132007	70	0.999250601789472	0.00311956860822675	0.000529993867213822	0.995593733309596	0.996880431391773	0.998906467371963	0.998065516590623	0.996236666889349	1330.24127544891	0.00312190816061575	426098.785425685	64	48	0	Single
T1	equal	Coronaviridae	79573	79329	147	1	0.000314016008407939	0.0018496149781066	467982	0	0.999685983991592	0	0	0.998150385021893	1	0.999731486251	0.999842991995796	0.999074336450364	3184.55102040816	0	Inf	244	0	0	Single
T1	mm	Human	22132	22124	21991	0.999638532441713	0.166078859326501	0.49849257622124	110422	8	0.833921140673499	0.000361467558286644	7.24440822240333e-05	0.50150742377876	0.999638532441713	0.857653110744443	0.916779836557606	0.667924585264238	6.01905947870513	0.00043345532407862	13886.2280478378	0	7	1	Double
T1	equal	Human	78077	78054	77596	0.999705419009439	0.165315596498367	0.498528750401542	391785	23	0.834684403501633	0.0002945809905606	5.87022214962431e-05	0.501471249598458	0.999705419009439	0.858219260655612	0.917194911255536	0.667907430463746	6.04725410175872	0.000352924996950688	17134.6721088268	0	20	3	Double
T1	mm	Human	22132	22124	21991	0.999638532441713	0.166078859326501	0.49849257622124	110422	8	0.833921140673499	0.000361467558286644	7.24440822240333e-05	0.50150742377876	0.999638532441713	0.857653110744443	0.916779836557606	0.667924585264238	6.01905947870513	0.00043345532407862	13886.2280478378	0	7	0	Single
T1	equal	Human	78077	78054	77596	0.999705419009439	0.165315596498367	0.498528750401542	391785	23	0.834684403501633	0.0002945809905606	5.87022214962431e-05	0.501471249598458	0.999705419009439	0.858219260655612	0.917194911255536	0.667907430463746	6.04725410175872	0.000352924996950688	17134.6721088268	0	20	0	Single
T1	mm	Influenza	21962	21537	1	0.995976692563818	7.5232656991747e-06	4.64295663478503e-05	132920	87	0.999992476734301	0.00402330743618202	0.000654100911982076	0.999953570433652	0.995976692563818	0.999430586560549	0.997984584649059	0.997961169547287	132386.217952275	0.00402333770482057	32904575.1724138	338	43	31	Double
T1	equal	Influenza	78198	76914	1	0.999207534913933	2.12547530941607e-06	1.300136514334e-05	470482	61	0.999997874524691	0.000792465086066905	0.000129637461400977	0.999986998634857	0.999207534913933	0.999886749303143	0.999602704719312	0.999597114822276	470110.158648912	0.000792466770435459	593223812.262295	1223	39	12	Double
T1	mm	Influenza	21962	21567	2	0.997364039955605	1.50465313983494e-05	9.27256711020446e-05	132919	57	0.999984953468602	0.00263596004439512	0.000428648778726988	0.999907274328898	0.997364039955605	0.999618234171277	0.998674496712103	0.998634037922811	66285.3127774695	0.00263599970704747	25146176.0789474	338	43	0	Single
T1	equal	Influenza	78198	76926	14	0.999363429684963	2.9756654331825e-05	0.000181959968806862	470469	49	0.999970243345668	0.00063657031503735	0.000104140542976039	0.999818040031193	0.999363429684963	0.999884922679	0.999666836515315	0.999590683169282	33584.5360348907	0.000636589257803846	52756994.5976676	1223	39	0	Single
T1	mm	Metapneumovirus	22056	21774	0	0.98721436343852	0	0	132489	282	1	0.0127856365614799	0.00212395779198771	1	0.98721436343852	0.998175288750849	0.99360718171926	0.99356605065024	Inf	0.0127856365614799	Inf	0	154	90	Double
T1	equal	Metapneumovirus	78492	78399	0	0.998815165876777	0	0	468966	93	1	0.00118483412322275	0.000198269300876862	1	0.998815165876777	0.999830123954714	0.999407582938389	0.999407231772377	Inf	0.00118483412322275	Inf	0	56	37	Double
T1	mm	Metapneumovirus	22056	21855	0	0.99088683351469	0	0	132489	201	1	0.00911316648531012	0.00151480895319919	1	0.99088683351469	0.998699407939435	0.995443416757345	0.995422559267609	Inf	0.00911316648531012	Inf	0	154	0	Single
T1	equal	Metapneumovirus	78492	78424	2	0.999133669673342	4.26470149221905e-06	2.55017468696606e-05	468964	68	0.999995735298508	0.000866330326657494	0.000144979447031333	0.99997449825313	0.999133669673342	0.99987213631	0.999564702485925	0.999553907136211	234279.860266014	0.000866334021313487	270426711.294118	0	56	0	Single
T1	mm	Rhinovirus	22502	22087	4	0.995358269490762	3.02217521060783e-05	0.000181069213706939	132351	103	0.999969778247894	0.0046417305092384	0.000777628459691667	0.999818930786293	0.995358269490762	0.999307645022485	0.997664023869328	0.997583613739527	32935.1609396124	0.00464187079470686	7095234.3131068	312	43	33	Double
T1	equal	Rhinovirus	79447	78371	19	0.999948963317384	4.05045588946945e-05	0.000242377854318153	469064	4	0.999959495441105	5.103668261563e-05	8.52754824460419e-06	0.999757622145682	0.999948963317384	0.999957987644714	0.999954229379245	0.999853283577329	24687.3189242005	5.10387499176819e-05	483697562.421053	1072	2	2	Double
T1	mm	Rhinovirus	22502	22119	17	0.996800360522758	0.000128442446450833	0.000767979761474521	132338	71	0.999871557553549	0.003199639477242	0.000536217326616771	0.999232020238526	0.996800360522758	0.999430586560549	0.998335959038154	0.998014709200018	7760.67715982292	0.00320005049955693	2425173.34051367	312	43	0	Single
T1	equal	Rhinovirus	79447	78373	59	0.999974481658692	0.000125777314462473	0.000752243982048144	469024	2	0.999874222685537	2.5518341307815e-05	4.26415593165411e-06	0.999247756017952	0.999974481658692	0.999888575927286	0.999924352172115	0.999610986754418	7950.35643694753	2.55215513400035e-05	311515406.372881	1072	2	0	Single
T1	mm	Sars_cov_2	22111	21852	0	0.989360257164848	0	0	132458	235	1	0.0106397428351519	0.00177100525272622	1	0.989360257164848	0.998479407292374	0.994680128582424	0.994651676187442	Inf	0.0106397428351519	Inf	24	77	141	Double
T1	equal	Sars_cov_2	78234	78113	0	0.999795210485223	0	0	469329	16	1	0.000204789514776843	3.40900616817054e-05	1	0.999795210485223	0.999970774013714	0.999897605242612	0.999897594756851	Inf	0.000204789514776843	Inf	105	13	3	Double
T1	mm	Sars_cov_2	22111	21951	2	0.99384253180604	1.50991257606185e-05	9.11037215870268e-05	132456	136	0.999984900874239	0.00615746819396025	0.00102570290816942	0.999908896278413	0.99384253180604	0.999107056197224	0.99691371634014	0.996866485013624	65821.1970389822	0.0061575611677507	10689491.3823529	24	77	0	Single
T1	equal	Sars_cov_2	78234	78115	3	0.99982080917457	6.3921044725555e-06	3.8403440948309e-05	469326	14	0.999993607895527	0.000179190825429738	2.98291217454298e-05	0.999961596559052	0.99982080917457	0.999968947389571	0.999907208535049	0.999891197911	156414.966849697	0.000179191970843536	872890487.857143	105	13	0	Single
T1	mm	Unrelated	22038	0	0	0	0	NA	132528	22017	1	1	0.142463360186353	NA	0	0.857536639813646	0.5	NA	NA	1	NA	21	77	37	Double
T1	equal	Unrelated	78151	0	0	0	0	NA	469377	78081	1	1	0.142624639698388	NA	0	0.857375360301612	0.5	NA	NA	1	NA	70	286	147	Double
T1	mm	Unrelated	22038	0	0	0	0	NA	132528	22017	1	1	0.142463360186353	NA	0	0.857536639813646	0.5	NA	NA	1	NA	21	77	0	Single
T1	equal	Unrelated	78151	0	0	0	0	NA	469377	78081	1	1	0.142624639698388	NA	0	0.857375360301612	0.5	NA	NA	1	NA	70	286	0	Single
T2	mm	Coronaviridae	22439	22226	14	0.994451901565995	0.000105341570040857	0.000629496402877698	132887	124	0.999894658429959	0.00554809843400447	0.000932253723376262	0.999370503597122	0.994451901565995	0.999111116836606	0.997173279997977	0.996905135680646	9440.26086928731	0.00554868294097714	1701351.64861751	89	56	45	Double
T2	equal	Coronaviridae	79637	79366	34	1	7.27381640031663e-05	0.000428211586901763	467396	0	0.999927261835997	0	0	0.999571788413098	1	0.999937819589024	0.999963630917998	0.999785848355441	13747.9411764706	0	Inf	271	0	0	Double
T2	mm	Coronaviridae	22439	22271	108	0.996465324384788	0.000812634968886615	0.00482595290227445	132793	79	0.999187365031113	0.00353467561521253	0.00059455716780059	0.995174047097726	0.996465324384788	0.998795498901778	0.997826344707951	0.995819267142123	1226.21516737095	0.00353755035233303	346628.328996718	89	56	0	Single
