dataid	knownlabel	readtype	predictedlabel	readcounts	ptype
T100	Coronaviridae	EQUAL	Coronaviridae	79192	Single
T100	Human	EQUAL	Coronaviridae	1	Single
T100	Influenza	EQUAL	Coronaviridae	0	Single
T100	Metapneumovirus	EQUAL	Coronaviridae	9	Single
T100	Rhinovirus	EQUAL	Coronaviridae	0	Single
T100	Sars_cov_2	EQUAL	Coronaviridae	0	Single
T100	Unrelated	EQUAL	Coronaviridae	144	Single
T100	Coronaviridae	INDEL	Coronaviridae	19	Single
T100	Human	INDEL	Coronaviridae	0	Single
T100	Influenza	INDEL	Coronaviridae	0	Single
T100	Metapneumovirus	INDEL	Coronaviridae	0	Single
T100	Rhinovirus	INDEL	Coronaviridae	0	Single
T100	Sars_cov_2	INDEL	Coronaviridae	0	Single
T100	Unrelated	INDEL	Coronaviridae	0	Single
T100	Coronaviridae	MM	Coronaviridae	22441	Single
T100	Human	MM	Coronaviridae	2	Single
T100	Influenza	MM	Coronaviridae	3	Single
T100	Metapneumovirus	MM	Coronaviridae	5	Single
T100	Rhinovirus	MM	Coronaviridae	2	Single
T100	Sars_cov_2	MM	Coronaviridae	38	Single
T100	Unrelated	MM	Coronaviridae	34	Single
T100	Coronaviridae	EQUAL	Discarded	267	Single
T100	Human	EQUAL	Discarded	0	Single
T100	Influenza	EQUAL	Discarded	1198	Single
T100	Metapneumovirus	EQUAL	Discarded	0	Single
T100	Rhinovirus	EQUAL	Discarded	1024	Single
T100	Sars_cov_2	EQUAL	Discarded	110	Single
T100	Unrelated	EQUAL	Discarded	64	Single
T100	Coronaviridae	INDEL	Discarded	0	Single
T100	Human	INDEL	Discarded	0	Single
T100	Influenza	INDEL	Discarded	1	Single
T100	Metapneumovirus	INDEL	Discarded	0	Single
T100	Rhinovirus	INDEL	Discarded	1	Single
T100	Sars_cov_2	INDEL	Discarded	0	Single
T100	Unrelated	INDEL	Discarded	0	Single
T100	Coronaviridae	MM	Discarded	74	Single
T100	Human	MM	Discarded	0	Single
T100	Influenza	MM	Discarded	333	Single
T100	Metapneumovirus	MM	Discarded	0	Single
T100	Rhinovirus	MM	Discarded	318	Single
T100	Sars_cov_2	MM	Discarded	36	Single
T100	Unrelated	MM	Discarded	16	Single
T100	Coronaviridae	EQUAL	Human	0	Single
T100	Human	EQUAL	Human	77779	Single
T100	Influenza	EQUAL	Human	9	Single
T100	Metapneumovirus	EQUAL	Human	0	Single
T100	Rhinovirus	EQUAL	Human	0	Single
T100	Sars_cov_2	EQUAL	Human	1	Single
T100	Unrelated	EQUAL	Human	77243	Single
T100	Coronaviridae	INDEL	Human	0	Single
T100	Human	INDEL	Human	24	Single
T100	Influenza	INDEL	Human	0	Single
T100	Metapneumovirus	INDEL	Human	0	Single
T100	Rhinovirus	INDEL	Human	0	Single
T100	Sars_cov_2	INDEL	Human	0	Single
T100	Unrelated	INDEL	Human	29	Single
T100	Coronaviridae	MM	Human	29	Single
T100	Human	MM	Human	22379	Single
T100	Influenza	MM	Human	13	Single
T100	Metapneumovirus	MM	Human	43	Single
T100	Rhinovirus	MM	Human	19	Single
T100	Sars_cov_2	MM	Human	17	Single
T100	Unrelated	MM	Human	22234	Single
T100	Coronaviridae	EQUAL	Influenza	0	Single
T100	Human	EQUAL	Influenza	0	Single
T100	Influenza	EQUAL	Influenza	76803	Single
T100	Metapneumovirus	EQUAL	Influenza	0	Single
T100	Rhinovirus	EQUAL	Influenza	0	Single
T100	Sars_cov_2	EQUAL	Influenza	0	Single
T100	Unrelated	EQUAL	Influenza	11	Single
T100	Coronaviridae	INDEL	Influenza	0	Single
T100	Human	INDEL	Influenza	0	Single
T100	Influenza	INDEL	Influenza	18	Single
T100	Metapneumovirus	INDEL	Influenza	0	Single
T100	Rhinovirus	INDEL	Influenza	0	Single
T100	Sars_cov_2	INDEL	Influenza	0	Single
T100	Unrelated	INDEL	Influenza	0	Single
T100	Coronaviridae	MM	Influenza	0	Single
T100	Human	MM	Influenza	0	Single
T100	Influenza	MM	Influenza	21762	Single
T100	Metapneumovirus	MM	Influenza	0	Single
T100	Rhinovirus	MM	Influenza	0	Single
T100	Sars_cov_2	MM	Influenza	0	Single
T100	Unrelated	MM	Influenza	4	Single
T100	Coronaviridae	EQUAL	Metapneumovirus	0	Single
T100	Human	EQUAL	Metapneumovirus	0	Single
T100	Influenza	EQUAL	Metapneumovirus	0	Single
T100	Metapneumovirus	EQUAL	Metapneumovirus	77935	Single
T100	Rhinovirus	EQUAL	Metapneumovirus	0	Single
T100	Sars_cov_2	EQUAL	Metapneumovirus	0	Single
T100	Unrelated	EQUAL	Metapneumovirus	0	Single
T100	Coronaviridae	INDEL	Metapneumovirus	0	Single
T100	Human	INDEL	Metapneumovirus	0	Single
T100	Influenza	INDEL	Metapneumovirus	0	Single
T100	Metapneumovirus	INDEL	Metapneumovirus	19	Single
T100	Rhinovirus	INDEL	Metapneumovirus	0	Single
T100	Sars_cov_2	INDEL	Metapneumovirus	0	Single
T100	Unrelated	INDEL	Metapneumovirus	0	Single
T100	Coronaviridae	MM	Metapneumovirus	0	Single
T100	Human	MM	Metapneumovirus	0	Single
T100	Influenza	MM	Metapneumovirus	0	Single
T100	Metapneumovirus	MM	Metapneumovirus	22353	Single
T100	Rhinovirus	MM	Metapneumovirus	0	Single
T100	Sars_cov_2	MM	Metapneumovirus	0	Single
T100	Unrelated	MM	Metapneumovirus	1	Single
T100	Coronaviridae	EQUAL	pDiscarded	0	Single
T100	Human	EQUAL	pDiscarded	17	Single
T100	Influenza	EQUAL	pDiscarded	26	Single
T100	Metapneumovirus	EQUAL	pDiscarded	45	Single
T100	Rhinovirus	EQUAL	pDiscarded	5	Single
T100	Sars_cov_2	EQUAL	pDiscarded	13	Single
T100	Unrelated	EQUAL	pDiscarded	255	Single
T100	Coronaviridae	INDEL	pDiscarded	0	Single
T100	Human	INDEL	pDiscarded	0	Single
T100	Influenza	INDEL	pDiscarded	0	Single
T100	Metapneumovirus	INDEL	pDiscarded	0	Single
T100	Rhinovirus	INDEL	pDiscarded	1	Single
T100	Sars_cov_2	INDEL	pDiscarded	0	Single
T100	Unrelated	INDEL	pDiscarded	0	Single
T100	Coronaviridae	MM	pDiscarded	54	Single
T100	Human	MM	pDiscarded	3	Single
T100	Influenza	MM	pDiscarded	37	Single
T100	Metapneumovirus	MM	pDiscarded	139	Single
T100	Rhinovirus	MM	pDiscarded	55	Single
T100	Sars_cov_2	MM	pDiscarded	69	Single
T100	Unrelated	MM	pDiscarded	85	Single
T100	Coronaviridae	EQUAL	Rhinovirus	0	Single
T100	Human	EQUAL	Rhinovirus	3	Single
T100	Influenza	EQUAL	Rhinovirus	0	Single
T100	Metapneumovirus	EQUAL	Rhinovirus	0	Single
T100	Rhinovirus	EQUAL	Rhinovirus	78228	Single
T100	Sars_cov_2	EQUAL	Rhinovirus	3	Single
T100	Unrelated	EQUAL	Rhinovirus	58	Single
T100	Coronaviridae	INDEL	Rhinovirus	0	Single
T100	Human	INDEL	Rhinovirus	0	Single
T100	Influenza	INDEL	Rhinovirus	0	Single
T100	Metapneumovirus	INDEL	Rhinovirus	0	Single
T100	Rhinovirus	INDEL	Rhinovirus	15	Single
T100	Sars_cov_2	INDEL	Rhinovirus	0	Single
T100	Unrelated	INDEL	Rhinovirus	0	Single
T100	Coronaviridae	MM	Rhinovirus	0	Single
T100	Human	MM	Rhinovirus	1	Single
T100	Influenza	MM	Rhinovirus	0	Single
T100	Metapneumovirus	MM	Rhinovirus	0	Single
T100	Rhinovirus	MM	Rhinovirus	22282	Single
T100	Sars_cov_2	MM	Rhinovirus	2	Single
T100	Unrelated	MM	Rhinovirus	15	Single
T100	Coronaviridae	EQUAL	Sars_cov_2	0	Single
T100	Human	EQUAL	Sars_cov_2	0	Single
T100	Influenza	EQUAL	Sars_cov_2	0	Single
T100	Metapneumovirus	EQUAL	Sars_cov_2	0	Single
T100	Rhinovirus	EQUAL	Sars_cov_2	0	Single
T100	Sars_cov_2	EQUAL	Sars_cov_2	77724	Single
T100	Unrelated	EQUAL	Sars_cov_2	1	Single
T100	Coronaviridae	INDEL	Sars_cov_2	0	Single
T100	Human	INDEL	Sars_cov_2	0	Single
T100	Influenza	INDEL	Sars_cov_2	0	Single
T100	Metapneumovirus	INDEL	Sars_cov_2	0	Single
T100	Rhinovirus	INDEL	Sars_cov_2	0	Single
T100	Sars_cov_2	INDEL	Sars_cov_2	26	Single
T100	Unrelated	INDEL	Sars_cov_2	0	Single
