dataid	knownlabel	readtype	predictedlabel	readcounts	testclass
FPRT100	Human	EQUAL	Coronaviridae	0	Coronaviridae
FPRT100	Influenza	EQUAL	Coronaviridae	0	Coronaviridae
FPRT100	Metapneumovirus	EQUAL	Coronaviridae	0	Coronaviridae
FPRT100	Rhinovirus	EQUAL	Coronaviridae	0	Coronaviridae
FPRT100	Sars_cov_2	EQUAL	Coronaviridae	0	Coronaviridae
FPRT100	Unrelated	EQUAL	Coronaviridae	2	Coronaviridae
FPRT100	Human	INDEL	Coronaviridae	0	Coronaviridae
FPRT100	Influenza	INDEL	Coronaviridae	0	Coronaviridae
FPRT100	Metapneumovirus	INDEL	Coronaviridae	0	Coronaviridae
FPRT100	Rhinovirus	INDEL	Coronaviridae	0	Coronaviridae
FPRT100	Sars_cov_2	INDEL	Coronaviridae	0	Coronaviridae
FPRT100	Unrelated	INDEL	Coronaviridae	0	Coronaviridae
FPRT100	Human	MM	Coronaviridae	0	Coronaviridae
FPRT100	Influenza	MM	Coronaviridae	0	Coronaviridae
FPRT100	Metapneumovirus	MM	Coronaviridae	0	Coronaviridae
FPRT100	Rhinovirus	MM	Coronaviridae	0	Coronaviridae
FPRT100	Sars_cov_2	MM	Coronaviridae	5	Coronaviridae
FPRT100	Unrelated	MM	Coronaviridae	0	Coronaviridae
FPRT100	Human	EQUAL	Discarded	0	Coronaviridae
FPRT100	Influenza	EQUAL	Discarded	1541	Coronaviridae
FPRT100	Metapneumovirus	EQUAL	Discarded	0	Coronaviridae
FPRT100	Rhinovirus	EQUAL	Discarded	639	Coronaviridae
FPRT100	Sars_cov_2	EQUAL	Discarded	157	Coronaviridae
FPRT100	Unrelated	EQUAL	Discarded	15	Coronaviridae
FPRT100	Human	INDEL	Discarded	0	Coronaviridae
FPRT100	Influenza	INDEL	Discarded	1	Coronaviridae
FPRT100	Metapneumovirus	INDEL	Discarded	0	Coronaviridae
FPRT100	Rhinovirus	INDEL	Discarded	0	Coronaviridae
FPRT100	Sars_cov_2	INDEL	Discarded	0	Coronaviridae
FPRT100	Unrelated	INDEL	Discarded	0	Coronaviridae
FPRT100	Human	MM	Discarded	0	Coronaviridae
FPRT100	Influenza	MM	Discarded	433	Coronaviridae
FPRT100	Metapneumovirus	MM	Discarded	0	Coronaviridae
FPRT100	Rhinovirus	MM	Discarded	186	Coronaviridae
FPRT100	Sars_cov_2	MM	Discarded	39	Coronaviridae
FPRT100	Unrelated	MM	Discarded	3	Coronaviridae
FPRT100	Human	EQUAL	Human	70136	Coronaviridae
FPRT100	Influenza	EQUAL	Human	10	Coronaviridae
FPRT100	Metapneumovirus	EQUAL	Human	0	Coronaviridae
FPRT100	Rhinovirus	EQUAL	Human	0	Coronaviridae
FPRT100	Sars_cov_2	EQUAL	Human	0	Coronaviridae
FPRT100	Unrelated	EQUAL	Human	4016	Coronaviridae
FPRT100	Human	INDEL	Human	13	Coronaviridae
FPRT100	Influenza	INDEL	Human	0	Coronaviridae
FPRT100	Metapneumovirus	INDEL	Human	0	Coronaviridae
FPRT100	Rhinovirus	INDEL	Human	0	Coronaviridae
FPRT100	Sars_cov_2	INDEL	Human	0	Coronaviridae
FPRT100	Unrelated	INDEL	Human	1	Coronaviridae
FPRT100	Human	MM	Human	19675	Coronaviridae
FPRT100	Influenza	MM	Human	23	Coronaviridae
FPRT100	Metapneumovirus	MM	Human	9	Coronaviridae
FPRT100	Rhinovirus	MM	Human	8	Coronaviridae
FPRT100	Sars_cov_2	MM	Human	20	Coronaviridae
FPRT100	Unrelated	MM	Human	1164	Coronaviridae
FPRT100	Human	EQUAL	Influenza	0	Coronaviridae
FPRT100	Influenza	EQUAL	Influenza	95938	Coronaviridae
FPRT100	Metapneumovirus	EQUAL	Influenza	0	Coronaviridae
FPRT100	Rhinovirus	EQUAL	Influenza	0	Coronaviridae
FPRT100	Sars_cov_2	EQUAL	Influenza	0	Coronaviridae
FPRT100	Unrelated	EQUAL	Influenza	0	Coronaviridae
FPRT100	Human	INDEL	Influenza	0	Coronaviridae
FPRT100	Influenza	INDEL	Influenza	38	Coronaviridae
FPRT100	Metapneumovirus	INDEL	Influenza	0	Coronaviridae
FPRT100	Rhinovirus	INDEL	Influenza	0	Coronaviridae
FPRT100	Sars_cov_2	INDEL	Influenza	0	Coronaviridae
FPRT100	Unrelated	INDEL	Influenza	0	Coronaviridae
FPRT100	Human	MM	Influenza	0	Coronaviridae
FPRT100	Influenza	MM	Influenza	26892	Coronaviridae
FPRT100	Metapneumovirus	MM	Influenza	0	Coronaviridae
FPRT100	Rhinovirus	MM	Influenza	0	Coronaviridae
FPRT100	Sars_cov_2	MM	Influenza	0	Coronaviridae
FPRT100	Unrelated	MM	Influenza	0	Coronaviridae
FPRT100	Human	EQUAL	Metapneumovirus	0	Coronaviridae
FPRT100	Influenza	EQUAL	Metapneumovirus	0	Coronaviridae
FPRT100	Metapneumovirus	EQUAL	Metapneumovirus	34471	Coronaviridae
FPRT100	Rhinovirus	EQUAL	Metapneumovirus	0	Coronaviridae
FPRT100	Sars_cov_2	EQUAL	Metapneumovirus	0	Coronaviridae
FPRT100	Unrelated	EQUAL	Metapneumovirus	0	Coronaviridae
FPRT100	Human	INDEL	Metapneumovirus	0	Coronaviridae
FPRT100	Influenza	INDEL	Metapneumovirus	0	Coronaviridae
FPRT100	Metapneumovirus	INDEL	Metapneumovirus	10	Coronaviridae
FPRT100	Rhinovirus	INDEL	Metapneumovirus	0	Coronaviridae
FPRT100	Sars_cov_2	INDEL	Metapneumovirus	0	Coronaviridae
FPRT100	Unrelated	INDEL	Metapneumovirus	0	Coronaviridae
FPRT100	Human	MM	Metapneumovirus	0	Coronaviridae
FPRT100	Influenza	MM	Metapneumovirus	0	Coronaviridae
FPRT100	Metapneumovirus	MM	Metapneumovirus	9759	Coronaviridae
