filename	class	# predicted reads	predicted reads (%)	# predicted reads above 0.95	predicted reads above 0.95 (%)
SRR6411409.fasta.gz	SARS-CoV-2	4	1.23109e-05	1	3.07772e-06
SRR6411409.fasta.gz	Coronaviridae	475	0.00146192	356	0.00109567
SRR6411409.fasta.gz	Influenza	2	6.15543e-06	2	6.15543e-06
SRR6411409.fasta.gz	Metapneumovirus	0	0	0	0
SRR6411409.fasta.gz	Rhinovirus	563	0.00173275	437	0.00134496
SRR6411409.fasta.gz	Human	32073502	98.7131	32062634	98.6797
SRR6411409.fasta.gz	Discarded	406051	1.24971	406051	1.24971
SRR6411409.fasta.gz	rc_discarded	11028	0.0339411	6037	0.0185802
DRR028492.fasta.gz	SARS-CoV-2	0	0	0	0
DRR028492.fasta.gz	Coronaviridae	131	0.0038707	98	0.00289564
DRR028492.fasta.gz	Influenza	4	0.000118189	0	0
DRR028492.fasta.gz	Metapneumovirus	0	0	0	0
DRR028492.fasta.gz	Rhinovirus	176	0.00520033	126	0.00372296
DRR028492.fasta.gz	Human	3328067	98.3355	3326398	98.2862
DRR028492.fasta.gz	Discarded	54235	1.6025	54235	1.6025
DRR028492.fasta.gz	rc_discarded	1788	0.0528306	949	0.0280404
SRR10303453.fasta.gz	SARS-CoV-2	38	0.000192161	32	0.00016182
SRR10303453.fasta.gz	Coronaviridae	1593	0.0080556	1297	0.00655877
SRR10303453.fasta.gz	Influenza	202	0.00102149	157	0.000793929
SRR10303453.fasta.gz	Metapneumovirus	8	4.0455e-05	6	3.03412e-05
SRR10303453.fasta.gz	Rhinovirus	4131	0.0208899	3364	0.0170113
SRR10303453.fasta.gz	Human	17577552	88.8875	17567509	88.8367
SRR10303453.fasta.gz	Discarded	2179858	11.0233	2179858	11.0233
SRR10303453.fasta.gz	rc_discarded	11682	0.0590744	6890	0.0348419
SRR4895842.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4895842.fasta.gz	Coronaviridae	5	0.00109448	2	0.000437794
SRR4895842.fasta.gz	Influenza	0	0	0	0
SRR4895842.fasta.gz	Metapneumovirus	0	0	0	0
SRR4895842.fasta.gz	Rhinovirus	7	0.00153228	5	0.00109448
SRR4895842.fasta.gz	Human	456462	99.9181	456308	99.8844
SRR4895842.fasta.gz	Discarded	205	0.0448739	205	0.0448739
SRR4895842.fasta.gz	rc_discarded	157	0.0343668	99	0.0216708
SRR5375307.fasta.gz	SARS-CoV-2	0	0	0	0
SRR5375307.fasta.gz	Coronaviridae	136	0.00755836	115	0.00639126
SRR5375307.fasta.gz	Influenza	0	0	0	0
SRR5375307.fasta.gz	Metapneumovirus	0	0	0	0
SRR5375307.fasta.gz	Rhinovirus	6	0.000333457	1	5.55762e-05
SRR5375307.fasta.gz	Human	1784902	99.1981	1784192	99.1586
SRR5375307.fasta.gz	Discarded	13601	0.755892	13601	0.755892
SRR5375307.fasta.gz	rc_discarded	686	0.0381253	290	0.0161171
SRR5515378.fasta.gz	SARS-CoV-2	0	0	0	0
SRR5515378.fasta.gz	Coronaviridae	165	0.0020597	115	0.00143555
SRR5515378.fasta.gz	Influenza	51	0.000636636	31	0.000386975
SRR5515378.fasta.gz	Metapneumovirus	0	0	0	0
SRR5515378.fasta.gz	Rhinovirus	346	0.00431914	260	0.00324559
SRR5515378.fasta.gz	Human	8000311	99.8683	7996783	99.8243
SRR5515378.fasta.gz	Discarded	6372	0.079542	6372	0.079542
