filename class pp_0.95 reads prop_totalreads
SRR6411409 SARS-CoV-2 above 1 3.07772e-6
SRR6411409 Coronaviridae above 356 0.00109567
SRR6411409 Influenza above 2 6.15543e-6
SRR6411409 Metapneumovirus above 0 0
SRR6411409 Rhinovirus above 437 0.00134496
SRR6411409 Human above 32062634 98.6797
SRR6411409 Discarded above 406051 1.24971
SRR6411409 rc_discarded above 6037 0.0185802
DRR028492 SARS-CoV-2 above 0 0
DRR028492 Coronaviridae above 98 0.00289564
DRR028492 Influenza above 0 0
DRR028492 Metapneumovirus above 0 0
DRR028492 Rhinovirus above 126 0.00372296
DRR028492 Human above 3326398 98.2862
DRR028492 Discarded above 54235 1.6025
DRR028492 rc_discarded above 949 0.0280404
SRR10303453 SARS-CoV-2 above 32 1.6182e-4
SRR10303453 Coronaviridae above 1297 0.00655877
SRR10303453 Influenza above 157 7.93929e-4
SRR10303453 Metapneumovirus above 6 3.03412e-5
SRR10303453 Rhinovirus above 3364 0.0170113
SRR10303453 Human above 17567509 88.8367
SRR10303453 Discarded above 2179858 11.0233
SRR10303453 rc_discarded above 6890 0.0348419
SRR4895842 SARS-CoV-2 above 0 0
SRR4895842 Coronaviridae above 2 4.37794e-4
SRR4895842 Influenza above 0 0
SRR4895842 Metapneumovirus above 0 0
SRR4895842 Rhinovirus above 5 0.00109448
SRR4895842 Human above 456308 99.8844
SRR4895842 Discarded above 205 0.0448739
SRR4895842 rc_discarded above 99 0.0216708
SRR5375307 SARS-CoV-2 above 0 0
SRR5375307 Coronaviridae above 115 0.00639126
SRR5375307 Influenza above 0 0
SRR5375307 Metapneumovirus above 0 0
SRR5375307 Rhinovirus above 1 5.55762e-5
SRR5375307 Human above 1784192 99.1586
SRR5375307 Discarded above 13601 0.755892
SRR5375307 rc_discarded above 290 0.0161171
SRR5515378 SARS-CoV-2 above 0 0
SRR5515378 Coronaviridae above 115 0.00143555
SRR5515378 Influenza above 31 3.86975e-4
SRR5515378 Metapneumovirus above 0 0
SRR5515378 Rhinovirus above 260 0.00324559
SRR5515378 Human above 7996783 99.8243
SRR5515378 Discarded above 6372 0.079542
SRR5515378 rc_discarded above 1854 0.0231436
SRR6116514 SARS-CoV-2 above 0 0
SRR6116514 Coronaviridae above 107 8.35317e-4
SRR6116514 Influenza above 34 2.65428e-4
SRR6116514 Metapneumovirus above 0 0
SRR6116514 Rhinovirus above 213 0.00166283
SRR6116514 Human above 12801772 99.9396
SRR6116514 Discarded above 0 0
SRR6116514 rc_discarded above 2045 0.0159647
SRR8927151 SARS-CoV-2 above 1 2.62267e-5
SRR8927151 Coronaviridae above 44 0.00115397
SRR8927151 Influenza above 0 0
SRR8927151 Metapneumovirus above 0 0
SRR8927151 Rhinovirus above 99 0.00259644
SRR8927151 Human above 3796920 99.5806
SRR8927151 Discarded above 13916 0.36497
SRR8927151 rc_discarded above 539 0.0141362
SRR8928257 SARS-CoV-2 above 0 0
SRR8928257 Coronaviridae above 26 9.33442e-4
SRR8928257 Influenza above 0 0
SRR8928257 Metapneumovirus above 0 0
SRR8928257 Rhinovirus above 27 9.69344e-4
SRR8928257 Human above 2646277 95.0057
