run	id	pacific	bwa	kraken
SRR4427249	SRR4427249:SRR4427249.25221:Coronaviridae	fa	NA	NA
SRR4427249	SRR4427249:SRR4427249.56426:rhinovirus	fa	NA	NA
SRR4427249	SRR4427249:SRR4427249.62970:Coronaviridae	fa	NA	NA
SRR4427249	SRR4427249:SRR4427249.72941:Coronaviridae	fa	NA	NA
SRR4427249	SRR4427249:SRR4427249.168269:Coronaviridae	fa	NA	NA
SRR4427249	SRR4427249:SRR4427249.212709:rhinovirus	fa	NA	NA
SRR4427249	SRR4427249:SRR4427249.219015:Coronaviridae	fa	NA	NA
SRR4427249	SRR4427249:SRR4427249.375069:rhinovirus	fa	NA	NA
SRR4427249	SRR4427249:SRR4427249.376076:Coronaviridae	fa	NA	NA
SRR4427250	SRR4427250:SRR4427250.36891:Coronaviridae	fa	NA	NA
SRR4427250	SRR4427250:SRR4427250.264111:rhinovirus	fa	NA	NA
SRR4427250	SRR4427250:SRR4427250.293293:rhinovirus	fa	NA	NA
SRR4427250	SRR4427250:SRR4427250.429081:Coronaviridae	fa	NA	NA
SRR4427251	SRR4427251:SRR4427251.239897:Coronaviridae	fa	NA	NA
SRR4427251	SRR4427251:SRR4427251.257591:Coronaviridae	fa	NA	NA
SRR4427251	SRR4427251:SRR4427251.358430:rhinovirus	fa	NA	NA
SRR4427252	SRR4427252:SRR4427252.2935:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.2935:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.3907:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.3907:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.5213:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.5213:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.5216:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.5216:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.5254:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.5254:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.5362:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.5362:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.5363:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.5363:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.5364:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.5364:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.5378:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.5378:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.5792:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.5792:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.6296:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.6582:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.6582:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.16183:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.16183:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.16185:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.16185:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.17142:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.17142:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.18304:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.18304:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.18520:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.18520:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.23405:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.23405:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.23406:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.23406:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.23407:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.23407:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.23408:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.23408:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.23409:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.23409:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.27209:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.27210:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.27210:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.36131:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.36131:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.39914:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.39914:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.41312:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.41312:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.41313:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.41313:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.41340:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.41340:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.41390:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.41390:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.41847:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.41847:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.41848:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.41848:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.42228:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.42228:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.42706:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.42706:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.42751:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.42751:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.42919:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.42919:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.43743:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.43745:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.44630:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.44630:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.45124:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.45124:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.45276:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.45276:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.45277:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.45277:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.45278:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.45278:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.45280:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.45280:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.45281:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.45281:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.46655:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.52673:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.52673:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.52716:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.55049:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.55639:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.55639:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.55640:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.55640:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.56982:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.56982:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.57413:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.57413:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.57414:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.57414:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.57465:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.57847:rhinovirus	fa	sam	kraken
