run	classifier	class	nreads	rproportion	study
DRR028492	pacific	Coronaviridae	98	0.0028956379577951903	Negative
DRR028492	pacific	Influenza	0	0	Negative
DRR028492	pacific	Metapneumovirus	0	0	Negative
DRR028492	pacific	Rhinovirus	126	0.003722963088593816	Negative
DRR028492	pacific	Sars_cov_2	0	0	Negative
DRR028492	bwa	Coronaviridae	4	1.1818930439980368e-4	Negative
DRR028492	bwa	Influenza	0	0	Negative
DRR028492	bwa	Metapneumovirus	0	0	Negative
DRR028492	bwa	Rhinovirus	12	3.54567913199411e-4	Negative
DRR028492	bwa	Sars_cov_2	86	0.002541070044595779	Negative
DRR028492	kraken	Coronaviridae	3	8.864197829985276e-5	Negative
DRR028492	kraken	Influenza	0	0	Negative
DRR028492	kraken	Metapneumovirus	0	0	Negative
DRR028492	kraken	Rhinovirus	0	0	Negative
DRR028492	kraken	Sars_cov_2	0	0	Negative
SRR10303453	pacific	Coronaviridae	1297	0.006558765119546515	Negative
SRR10303453	pacific	Influenza	157	7.939291625048596e-4	Negative
SRR10303453	pacific	Metapneumovirus	6	3.0341241879166615e-5	Negative
SRR10303453	pacific	Rhinovirus	3364	0.017011322946919413	Negative
SRR10303453	pacific	Sars_cov_2	32	1.618199566888886e-4	Negative
SRR10303453	bwa	Coronaviridae	11	5.5625610111805454e-5	Negative
SRR10303453	bwa	Influenza	0	0	Negative
SRR10303453	bwa	Metapneumovirus	0	0	Negative
SRR10303453	bwa	Rhinovirus	56	2.8318492420555504e-4	Negative
SRR10303453	bwa	Sars_cov_2	6901	0.034897485034688126	Negative
SRR10303453	kraken	Coronaviridae	0	0	Negative
SRR10303453	kraken	Influenza	0	0	Negative
SRR10303453	kraken	Metapneumovirus	0	0	Negative
SRR10303453	kraken	Rhinovirus	1	5.056873646527769e-6	Negative
SRR10303453	kraken	Sars_cov_2	6	3.0341241879166615e-5	Negative
SRR10971381	pacific	Coronaviridae	166	0.004296339777325368	SARS-CoV-2+_human
SRR10971381	pacific	Influenza	6	1.552893895418808e-4	SARS-CoV-2+_human
SRR10971381	pacific	Metapneumovirus	0	0	SARS-CoV-2+_human
SRR10971381	pacific	Rhinovirus	242	0.006263338711522524	SARS-CoV-2+_human
SRR10971381	pacific	Sars_cov_2	7298	0.1888836608127743	SARS-CoV-2+_human
SRR10971381	bwa	Coronaviridae	2	5.1763129847293595e-5	SARS-CoV-2+_human
SRR10971381	bwa	Influenza	0	0	SARS-CoV-2+_human
SRR10971381	bwa	Metapneumovirus	0	0	SARS-CoV-2+_human
SRR10971381	bwa	Rhinovirus	6	1.552893895418808e-4	SARS-CoV-2+_human
SRR10971381	bwa	Sars_cov_2	7887	0.20412790255280228	SARS-CoV-2+_human
SRR10971381	kraken	Coronaviridae	0	0	SARS-CoV-2+_human
SRR10971381	kraken	Influenza	0	0	SARS-CoV-2+_human
SRR10971381	kraken	Metapneumovirus	0	0	SARS-CoV-2+_human
