GenBankAssemblyID	NCBI Taxonomy ID	NCBI Assembly Name	NCBI Species Name	NCBI Species Lineage	Potential Hosts	PACIFIC Group
GCA_000853505.1	11137	ViralProj14913	Human coronavirus 229E (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Duvinacovirus	"human,vertebrates"	Cornidovirineae
GCA_000853865.1	277944	ViralProj14960	Human coronavirus NL63 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Setracovirus	"human,vertebrates"	Cornidovirineae
GCA_000858765.1	290028	ViralProj15139	Human coronavirus HKU1 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus	"human,vertebrates"	Cornidovirineae
GCA_000862505.1	11128	ViralProj15385	Bovine coronavirus (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1	"human,vertebrates"	Cornidovirineae
GCA_000862965.1	11120	ViralProj15303	Infectious bronchitis virus (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Gammacoronavirus; Igacovirus; Avian coronavirus	"human,vertebrates"	Cornidovirineae
GCA_000864885.1	694009	ViralProj15500	Severe acute respiratory syndrome-related coronavirus (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus	"human,vertebrates"	Cornidovirineae
GCA_000880055.1	11152	ViralProj30039	Turkey coronavirus (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Gammacoronavirus; Igacovirus; Avian coronavirus	"human,vertebrates"	Cornidovirineae
GCA_000901155.1	1235996	ViralProj183710	Human betacoronavirus 2c EMC/2012 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus; Middle East respiratory syndrome-related coronavirus	"human,vertebrates"	Cornidovirineae
GCA_001500975.1	1699095	ViralProj306529	Camel alphacoronavirus (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Duvinacovirus; Human coronavirus 229E	"human,vertebrates"	Cornidovirineae
GCA_002816195.1	1263720	ASM281619v1	Betacoronavirus England 1 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus; Middle East respiratory syndrome-related coronavirus	"human,vertebrates"	Cornidovirineae
GCA_002889935.1	694448	ASM288993v1	unidentified human coronavirus (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Coronavirinae; unclassified Coronavirinae	human	Cornidovirineae
GCA_003972325.1	31631	ASM397232v1	Human coronavirus OC43 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1	"human,vertebrates"	Cornidovirineae
GCA_000820495.2	518987	ViralMultiSegProj14656	Influenza B virus (B/Lee/1940) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Betainfluenzavirus; Influenza B virus	"human,vertebrates"	Influenza
GCA_000851145.1	130760	ViralMultiSegProj14892	Influenza A virus (A/Hong Kong/1073/99(H9N2)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H9N2 subtype	"human,vertebrates"	Influenza
